model,nb_conv_layers,nb_dense_layers,nb_filters,filter_size,pool_size,nb_dense_nodes,dropout_proba,learn_rate_adam,beta_1,beta_2,epsilon,min_delta,patience,batchsize,net_type
cnn_8,2,2,56,3,2,384,0.7,0.0013894954943731374,0.95,0.999,1.00E-08,0.0005,20,320,params
cnn_2,3,1,48,3,2,384,0.5,0.00031622776601683794,0.95,0.999,1.00E-08,0.005,15,128,params
cnn_7,2,2,24,4,2,320,0.6,0.003727593720314938,0.9,0.999,1.00E-08,0.00005,20,192,params
