model,max_depth,eta,n_estimators,gamma_xgb,subsample,scale_pos_weight,min_child_weight
xgboost_call,11,0.12915411955060244,1463,0.0001,0.9,0.5,1
xgboost_spectrogram,14,0.08474262150602366,500,0.01,0.7,1.5,3
